Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost (₺),Discounts (₺),Promotions & others (₺),Unrounded subtotal (₺),Subtotal (₺),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),6934-30E8-A65F,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Japan to Zurich,6AC2-0D4B-A220,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network HTTP Load Balancing Data Transfer Out to Load Balancer,6C67-1253-BB04,0.228,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to Australia,6DA7-3087-3552,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Frankfurt,6FE8-4D98-D65C,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Frankfurt,7164-19AF-C025,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network HTTP Load Balancing Data Transfer In from Load Balancer,761A-BA86-D467,0.084,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Sao Paulo,7814-2BFF-870A,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (CPU cost),7927-E3EC-DBBC,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Zurich to Frankfurt,7A9E-FBC7-DF08,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Frankfurt to Apac(Excluding Korea and Indonesia),7C0C-B50B-5E27,0.001,gibibyte,0.01,0.00,-0.01,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Zurich,7C49-5439-8A99,0.006,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sao Paulo to Zurich,7E70-B597-C2CB,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sydney to Zurich,7EC2-2C6B-024E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to Finland,80F1-CB6A-6F4E,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Frankfurt to Frankfurt,85A7-C412-8905,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),8835-C41E-B3EA,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Salt Lake City,889B-ACCB-5F43,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from London to Zurich,8BB4-E67A-5715,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Zurich to Zurich,8EE1-7AF9-DC7F,0.816,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Frankfurt,905E-26BE-5CD4,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to London,94EA-FAB7-ADE3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Zurich,966F-1757-CF5B,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Frankfurt,96B3-94E6-7D9E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer In,9C76-A3FB-C60A,71.255,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Zurich,9C82-E173-62D8,472.277,gibibyte hour,75.49,0.00,-75.49,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Virginia to Zurich,A23F-6118-661F,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Frankfurt to Americas,A612-B589-059A,0.003,gibibyte,0.01,0.00,-0.01,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),ABD6-FF7B-A404,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (RAM cost),B0B5-6E19-13AE,463.227,gibibyte hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Zurich,B12F-269D-3FE4,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to Zurich,BE65-62E6-8BFA,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Doha to Zurich,BE8B-CCC8-73F5,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Mumbai to Zurich,C14F-6170-8C2A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),C268-6D50-D598,115.807,hour,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Columbus,C393-A74E-0930,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Salt Lake City to Zurich,C4A1-1ECB-C301,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Zurich,C6ED-27C1-84FF,0.004,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Finland,C80F-1F4D-452A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Zurich to Virginia,C9E5-2D80-EFC6,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Columbus to Zurich,CA24-63B4-811A,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Balanced PD Capacity in Zurich,CAF4-ADE9-58BA,6.219,gibibyte month,31.59,0.00,-31.59,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - EMEA Based,CCB8-0A9C-50FA,0.155,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Zurich,CCEF-2733-ADEB,118.069,hour,140.81,0.00,-140.81,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Frankfurt to APAC,CFAF-21DE-E2D9,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
